id	category	question	ground_truth	source_document	source_page_or_section	question_type	difficulty	validation_status	validator	notes
80	Praktikum	Apa saja dokumen kerja yang biasanya ada dalam layanan praktikum?	Borang atau lembar kerja layanan praktikum meliputi panduan praktikum, daftar hadir praktikum, dan berita acara praktikum.	sop-layanan-praktikum-1719023591-YDFIpSKls6.pdf	Bagian 6 Borang / Lembar Kerja	Factoid	Medium	Validated		
81	Penasehat Akademik	Penasehat Akademik itu siapa?	Penasehat Akademik adalah dosen yang ditunjuk dan ditetapkan oleh ketua jurusan untuk memberikan bimbingan atau nasihat akademik kepada beberapa mahasiswa.	sop-layanan-penerbitan-sk-penasehat-akademik-1719022736-yuhuFgTjhh.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
82	Penasehat Akademik	PA itu membantu mahasiswa dalam hal apa saja?	Bimbingan atau nasihat akademik meliputi pemberian bimbingan, pertimbangan, nasihat, rekomendasi, dan kegiatan lain agar mahasiswa dapat mengikuti perkuliahan dengan terencana dan menyelesaikan studi tepat waktu tanpa hambatan.	sop-layanan-penerbitan-sk-penasehat-akademik-1719022736-yuhuFgTjhh.pdf	Bagian 4 Definisi Istilah	Descriptive	Medium	Validated		
83	Penasehat Akademik	Siapa yang mengusulkan dosen Penasehat Akademik?	Ketua jurusan atau koordinator program studi menyusun dan menandatangani usulan dosen Penasehat Akademik.	sop-layanan-penerbitan-sk-penasehat-akademik-1719022736-yuhuFgTjhh.pdf	Bagian 5.2 Prosedur	Factoid	Medium	Validated		
84	Penasehat Akademik	Siapa yang memvalidasi SK Penasehat Akademik?	SK Penasehat Akademik divalidasi oleh Wakil Dekan Bidang Akademik.	sop-layanan-penerbitan-sk-penasehat-akademik-1719022736-yuhuFgTjhh.pdf	Bagian 5.5 Prosedur	Factoid	Easy	Validated		
85	Penasehat Akademik	Setelah SK Penasehat Akademik selesai, siapa yang memproses tanda tangan dan distribusinya?	Pengadministrasi persuratan memproses penandatanganan SK Penasehat Akademik oleh Dekan, membubuhkan stempel, memberi nomor surat keluar, dan mendistribusikan SK Penasehat Akademik.	sop-layanan-penerbitan-sk-penasehat-akademik-1719022736-yuhuFgTjhh.pdf	Bagian 5.6 Prosedur	Procedural	Medium	Validated		
86	Mahasiswa Baru	Pendataan mahasiswa baru itu maksudnya apa?	Pendataan mahasiswa baru adalah proses permintaan data mahasiswa baru di tingkat jurusan atau program studi.	sop-layanan-pendataan-mahasiswa-baru-1719021980-FmAVR4peQ3.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
87	Mahasiswa Baru	Pendataan mahasiswa baru dilakukan untuk apa?	Pendataan mahasiswa baru dilakukan sebagai acuan dalam melaksanakan kegiatan pendataan mahasiswa baru dan mendukung penginputan database mahasiswa baru.	sop-layanan-pendataan-mahasiswa-baru-1719021980-FmAVR4peQ3.pdf	Bagian 2 Tujuan	Descriptive	Easy	Validated		
88	Mahasiswa Baru	Data mahasiswa baru itu sumbernya dari mana?	Pendataan mahasiswa baru bersumber dari laman siakad.uho.ac.id dan perekaman data induk mahasiswa baru berbasis Microsoft Excel.	sop-layanan-pendataan-mahasiswa-baru-1719021980-FmAVR4peQ3.pdf	Bagian 4 Definisi Istilah	Factoid	Medium	Validated		
89	Mahasiswa Baru	Siapa yang meminta data mahasiswa baru ke jurusan atau prodi?	Wakil Dekan Bidang Akademik mengirim surat permintaan data mahasiswa baru kepada ketua jurusan atau koordinator program studi untuk diunggah ke drive fakultas.	sop-layanan-pendataan-mahasiswa-baru-1719021980-FmAVR4peQ3.pdf	Bagian 5.1 Prosedur	Factoid	Medium	Validated		
90	Mahasiswa Baru	Setelah data mahasiswa baru dikumpulkan, siapa yang memverifikasi datanya?	Subkoordinator Bidang Akademik memverifikasi data mahasiswa baru.	sop-layanan-pendataan-mahasiswa-baru-1719021980-FmAVR4peQ3.pdf	Bagian 5.4 Prosedur	Factoid	Easy	Validated		
91	Perpanjangan Masa Studi	Perpanjangan masa studi itu maksudnya apa?	Perpanjangan masa studi adalah penambahan waktu bagi mahasiswa untuk mengikuti pendidikan dan mendapatkan layanan akademik bagi mahasiswa yang pernah menjalankan cuti akademik atau mengalami keadaan memaksa.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 1 Pengertian	Factoid	Easy	Validated		
92	Perpanjangan Masa Studi	Perpanjangan masa studi diberikan untuk kondisi seperti apa?	Perpanjangan masa studi dapat diberikan kepada mahasiswa yang pernah menjalankan cuti akademik atau mengalami keadaan memaksa, serta memenuhi ketentuan umum yang dipersyaratkan.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 1 Pengertian dan 5.1 Ketentuan Umum	Descriptive	Medium	Validated		
93	Perpanjangan Masa Studi	Kalau mau mengajukan perpanjangan masa studi, minimal SKS yang harus sudah terkumpul berapa?	Mahasiswa yang mengajukan perpanjangan masa studi harus telah mengumpulkan sekurang-kurangnya 144 SKS termasuk mata kuliah skripsi.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 5.1.3 Ketentuan Umum	Factoid	Easy	Validated		
94	Perpanjangan Masa Studi	IPK sementara minimal untuk perpanjangan masa studi berapa?	Mahasiswa yang mengajukan perpanjangan masa studi harus mencapai Indeks Prestasi Kumulatif Sementara sekurang-kurangnya 2,76.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 5.1.4 Ketentuan Umum	Factoid	Easy	Validated		
95	Perpanjangan Masa Studi	Kapan permohonan perpanjangan masa studi harus diajukan?	Mahasiswa mengajukan permohonan perpanjangan masa studi kepada Ketua Jurusan atau Koordinator Program Studi selambat-lambatnya 30 hari sebelum perkuliahan semester berikutnya dimulai.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 5.2.1 Prosedur	Procedural	Medium	Validated		
96	Perpanjangan Masa Studi	Dokumen apa yang perlu dilampirkan untuk perpanjangan masa studi?	Dokumen yang perlu dilampirkan adalah fotokopi KHS semester 1 sampai semester 13 dan surat pernyataan bersedia menyelesaikan studi selama 1 semester berikutnya.	sop-layanan-perpanjangan-masa-studi-1719228637-BlQujoq3vj.pdf	Bagian 5.2.1.1 dan 5.2.1.2 Prosedur	Factoid	Medium	Validated		
97	Akreditasi Ilmu Komputer	Akreditasi Prodi Ilmu Komputer UHO sekarang apa?	Program Studi Ilmu Komputer pada Program Sarjana Universitas Halu Oleo memperoleh peringkat Akreditasi Baik Sekali.	salinan-sertifikat-akreditasi-program-studi-ilmu-komputer-pada-program-sarjana-universitas-halu-oleo-1762429163-l8aUdHP8Jn.pdf	Sertifikat Akreditasi	Factoid	Easy	Validated		
98	Akreditasi Ilmu Komputer	Akreditasi Ilmu Komputer UHO berlaku sampai kapan?	Sertifikat akreditasi Program Studi Ilmu Komputer Universitas Halu Oleo berlaku sejak 22 Maret 2024 sampai dengan 22 Maret 2029.	salinan-sertifikat-akreditasi-program-studi-ilmu-komputer-pada-program-sarjana-universitas-halu-oleo-1762429163-l8aUdHP8Jn.pdf	Sertifikat Akreditasi	Factoid	Easy	Validated		
99	Akreditasi Ilmu Komputer	Nomor SK akreditasi Prodi Ilmu Komputer UHO berapa?	Nomor SK akreditasi Program Studi Ilmu Komputer pada Program Sarjana Universitas Halu Oleo adalah 032/SK/LAM-INFOKOM/Ak/S/III/2024.	salinan-surat-keputusan-akreditasi-program-studi-ilmu-komputer-pada-program-sarjana-universitas-halu-oleo-1762429079-aCGFTo0Lez.pdf	Halaman 1 Keputusan LAM INFOKOM	Factoid	Easy	Validated		
100	Akreditasi Ilmu Komputer	Nilai akreditasi Prodi Ilmu Komputer UHO berapa?	Nilai akreditasi Program Studi Ilmu Komputer pada Program Sarjana Universitas Halu Oleo adalah 308 dengan peringkat Akreditasi Baik Sekali.	salinan-surat-keputusan-akreditasi-program-studi-ilmu-komputer-pada-program-sarjana-universitas-halu-oleo-1762429079-aCGFTo0Lez.pdf	Halaman 2 Diktum Kesatu	Factoid	Easy	Validated		
